[2026-05-04 06:06:02 : INFO] - Cache for URL: http://192.168.11.3/ir/investors/ has been purged, triggered by action: save_post 
[2026-05-04 06:06:02 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "株主・個人投資家の皆様へ" has been purged, triggered by action: save_post 
[2026-05-04 06:18:38 : INFO] - Cache for URL: http://192.168.11.3/ir/stock/ has been purged, triggered by action: save_post 
[2026-05-04 06:18:38 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "株式について" has been purged, triggered by action: save_post 
[2026-05-04 06:19:33 : INFO] - Cache for URL: http://192.168.11.3/ir/stock/meeting/ has been purged, triggered by action: save_post 
[2026-05-04 06:19:33 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "株主総会" has been purged, triggered by action: save_post 
[2026-05-04 06:20:50 : INFO] - Cache for URL: http://192.168.11.3/ir/stock/return/ has been purged, triggered by action: save_post 
[2026-05-04 06:20:50 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "株主還元" has been purged, triggered by action: save_post 
[2026-05-04 06:21:52 : INFO] - Cache for URL: http://192.168.11.3/ir/stock/status/ has been purged, triggered by action: save_post 
[2026-05-04 06:21:52 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "株式の状況" has been purged, triggered by action: save_post 
[2026-05-04 06:23:29 : INFO] - Cache for URL: http://192.168.11.3/ir/stock/memo/ has been purged, triggered by action: save_post 
[2026-05-04 06:23:29 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "株式メモ" has been purged, triggered by action: save_post 
[2026-05-04 06:24:27 : INFO] - Cache for URL: http://192.168.11.3/ir/stock/procedure/ has been purged, triggered by action: save_post 
[2026-05-04 06:24:27 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "株式事務手続き" has been purged, triggered by action: save_post 
[2026-05-04 06:25:27 : INFO] - Cache for URL: http://192.168.11.3/ir/management/ has been purged, triggered by action: wp_trash_post 
[2026-05-04 06:26:09 : INFO] - Cache for URL: http://192.168.11.3/ir/performance/ has been purged, triggered by action: save_post 
[2026-05-04 06:26:09 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "財務ハイライト" has been purged, triggered by action: save_post 
[2026-05-04 06:27:38 : INFO] - Cache for URL: http://192.168.11.3/ir/performance/segment-segment/ has been purged, triggered by action: save_post 
[2026-05-04 06:27:38 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "セグメント別業績ハイライト" has been purged, triggered by action: save_post 
[2026-05-04 06:28:49 : INFO] - Cache for URL: http://192.168.11.3/ir/performance/segment-single/ has been purged, triggered by action: save_post 
[2026-05-04 06:28:49 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "業績ハイライト（単体）" has been purged, triggered by action: save_post 
[2026-05-04 06:29:50 : INFO] - Cache for URL: http://192.168.11.3/ir/performance/highligh-linking/ has been purged, triggered by action: save_post 
[2026-05-04 06:29:50 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "業績ハイライト（連結）" has been purged, triggered by action: save_post 
[2026-05-04 06:30:13 : INFO] - Cache for URL: http://192.168.11.3/ir/performance/segment-single/ has been purged, triggered by action: save_post 
[2026-05-04 06:30:13 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "業績ハイライト（単体）" has been purged, triggered by action: save_post 
[2026-05-04 06:31:25 : INFO] - Cache for URL: http://192.168.11.3/ir/announcement/ has been purged, triggered by action: save_post 
[2026-05-04 06:31:25 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "電子公告" has been purged, triggered by action: save_post 
[2026-05-04 06:31:43 : INFO] - Cache for URL: http://192.168.11.3/ir/announcement/ has been purged, triggered by action: save_post 
[2026-05-04 06:31:43 : INFO] - Cache for author page URL: http://192.168.11.3/author/adsquare/ associated with post_type: page and Title: "電子公告" has been purged, triggered by action: save_post 
